Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20260208,,3100.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260408,,3100.0,,,,stopped tracking,WITHDRAWAL
4058.T,1827.0,2026/04/08,15:30 JST,75.0,1792.0,1828.0,1768.0,42100,,,,,,,,
4379.T,505.0,2026/04/08,15:30 JST,21.0,494.0,507.0,494.0,102400,,,,,,,,
BTC-USD,71937.984,2026/04/08,17:37 UTC,2982.7656,71926.16,72634.43,70868.12,54746169344,,,,,,,,
ALBKK.PA,20.4,2026/04/08,17:35 CEST,0.5,19.9,20.5,19.9,257,,,,,,,,
DIB.MI,9.79,2026/04/08,17:35 CEST,0.13000011,10.02,10.12,9.61,20888,20260226,11.54,35.0,,,,,BUY
ICOP.MI,24.1,2026/04/08,16:07 CEST,1.1000004,24.1,24.3,23.5,13250,,,,,,,,
FCH.MI,6.05,2026/04/08,16:10 CEST,-0.099999905,6.1,6.1,5.85,8500,,,,,,,,
ABEO.PA,7.9,2026/04/08,17:27 CEST,-0.059999943,7.98,8.04,7.9,3478,20260224,8.9,22.0,,,,,BUY
EXXT.DE,206.9,2026/04/08,17:35 CEST,5.949997,208.05,208.65,206.0,73151,20260208,205.25,1.24,,,,,BUY
XMR-USD,335.76794,2026/04/08,17:37 UTC,9.235779,344.4955,356.58844,327.73,138934960,20260208,328.14783,0.25,,,,,BUY
VWCE.DE,148.08,2026/04/08,17:35 CEST,4.1600037,148.4,148.8,147.46,281154,20260208,147.82,111.0,,,,,BUY
WPEA.PA,6.1704,2026/04/08,17:35 CEST,0.15269995,6.1858,6.199,6.1417,1204026,20260208,6.1763,1496.0,,,,,BUY
AVWS.DE,22.875,2026/04/08,17:35 CEST,0.41500092,22.88,22.935,22.755,337939,20260408,22.9,87.0,0.35,,,,BUY
AVWS.DE,22.875,2026/04/08,17:35 CEST,0.41500092,22.88,22.935,22.755,337939,20260304,22.635,66.0,,,,,BUY
AVWS.DE,22.875,2026/04/08,17:35 CEST,0.41500092,22.88,22.935,22.755,337939,20260208,22.45,125.0,,,,,BUY
SUSW.AS,12.2605,2026/04/08,17:35 CEST,0.34710026,12.2682,12.31,12.2503,28551,20260208,12.3866,184.0,,,,,BUY
ETH-USD,2237.8398,2026/04/08,17:37 UTC,127.2832,2239.894,2265.548,2193.5183,28014309376,20260208,2081.8982,0.147,,,,,BUY
SOL-USD,83.729485,2026/04/08,17:37 UTC,3.8816223,85.62785,85.698204,82.70824,6319524352,20260208,87.20976,1.6,,,,,BUY
TTWO,202.67,2026/04/08,13:40 EDT,4.3399963,202.82,205.08,201.56,721071,20260208,195.59,1.84,,,,,BUY
